design_name,width_mm,height_mm,price_gbp,helions_sku,photo_url
Grantchester,4500,2000,3181.45,HF013DG,https://helionsforge.com/wp-content/uploads/2025/11/Essex-Iron-Driveway-Gate-Design.jpg
Grantchester,4500,2200,3299.28,HF013DG,https://helionsforge.com/wp-content/uploads/2025/11/Essex-Iron-Driveway-Gate-Design.jpg
Grantchester,5000,1600,3417.11,HF013DG,https://helionsforge.com/wp-content/uploads/2025/11/Essex-Iron-Driveway-Gate-Design.jpg
Grantchester,5000,1800,3534.95,HF013DG,https://helionsforge.com/wp-content/uploads/2025/11/Essex-Iron-Driveway-Gate-Design.jpg
Grantchester,5000,2000,3652.78,HF013DG,https://helionsforge.com/wp-content/uploads/2025/11/Essex-Iron-Driveway-Gate-Design.jpg
Grantchester,5000,2200,3770.61,HF013DG,https://helionsforge.com/wp-content/uploads/2025/11/Essex-Iron-Driveway-Gate-Design.jpg
Burwell,2500,1600,2346.21,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,2500,1800,2463.52,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,2500,2000,2580.83,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,2500,2200,2698.14,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,3000,1600,2463.52,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,3000,1800,2580.83,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,3000,2000,2698.14,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,3000,2200,2815.45,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,3500,1600,2580.83,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,3500,1800,2698.14,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,3500,2000,2815.45,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,3500,2200,2698.14,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,4000,1600,2815.45,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,4000,1800,2932.76,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,4000,2000,3050.07,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,4000,2200,3167.38,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,4500,1600,2932.76,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,4500,1800,3050.07,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,4500,2000,3167.38,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,4500,2200,3284.69,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,5000,1600,3402,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,5000,1800,3519.32,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,5000,2000,3636.63,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Burwell,5000,2200,3753.94,HF014DG,https://helionsforge.com/wp-content/uploads/2025/11/Suffolk-Iron-Driveway-Gate-Design.jpg
Linton,2500,1600,2781.11,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,2500,1800,2920.17,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,2500,2000,3059.22,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,2500,2200,3198.28,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,3000,1600,2920.17,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,3000,1800,3059.22,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,3000,2000,3198.28,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,3000,2200,3337.33,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,3500,1600,3059.22,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,3500,1800,3198.28,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,3500,2000,3337.33,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,3500,2200,3198.28,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,4000,1600,3337.33,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,4000,1800,3476.39,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,4000,2000,3615.44,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,4000,2200,3754.5,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,4500,1600,3476.39,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,4500,1800,3615.44,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,4500,2000,3754.5,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,4500,2200,3893.55,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,5000,1600,4032.61,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,5000,1800,4171.67,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,5000,2000,4310.72,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Linton,5000,2200,4449.78,HF015DG,https://helionsforge.com/wp-content/uploads/2025/11/Bedfordshire-Iron-Driveway-Gate-Design.jpg
Finchingfield,2500,1600,3228.74,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
Finchingfield,2500,1800,3374.03,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
